date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:17:06	2845/2845	---M-Z	200	added ('OK')	text/html	etag:W/%226120566b-b1d%22	https://andyngojs.github.io/crush-love/?utm_medium=url_shortener&utm_source=j2team	/tha_thinh/andyngojs.github.io/crush-love/index4a12.html	(from )
14:17:06	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f77c9f3-239b%22	https://andyngojs.github.io/robots.txt		(from )
14:17:06	1861/1861	---M-Z	200	added ('OK')	text/css	etag:%225eb03f2b-745%22	https://cdnjs.cloudflare.com/ajax/libs/normalize/8.0.1/normalize.min.css	/tha_thinh/cdnjs.cloudflare.com/ajax/libs/normalize/8.0.1/normalize.min.css	(from https://andyngojs.github.io/crush-love/?utm_medium=url_shortener&utm_source=j2team)
14:17:07	16435/16435	---M-Z	200	added ('OK')	text/css	etag:W/%226120566a-4033%22	https://andyngojs.github.io/crush-love/assets/fonts/themify-icons.css	/tha_thinh/andyngojs.github.io/crush-love/assets/fonts/themify-icons.css	(from https://andyngojs.github.io/crush-love/?utm_medium=url_shortener&utm_source=j2team)
14:17:07	5482/5482	---M-Z	200	added ('OK')	text/css	etag:W/%226120566b-156a%22	https://andyngojs.github.io/crush-love/assets/styles.css	/tha_thinh/andyngojs.github.io/crush-love/assets/styles.css	(from https://andyngojs.github.io/crush-love/?utm_medium=url_shortener&utm_source=j2team)
14:17:07	1536/1536	---M-Z	200	added ('OK')	text/css	etag:W/%226120566b-600%22	https://andyngojs.github.io/crush-love/assets/responsive.css	/tha_thinh/andyngojs.github.io/crush-love/assets/responsive.css	(from https://andyngojs.github.io/crush-love/?utm_medium=url_shortener&utm_source=j2team)
14:17:12	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%22603e7578-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	/tha_thinh/code.jquery.com/jquery-3.6.0.min.js	(from https://andyngojs.github.io/crush-love/?utm_medium=url_shortener&utm_source=j2team)
14:17:12	698/698	---M-Z	200	added ('OK')	application/javascript	etag:W/%226120566a-2ba%22	https://andyngojs.github.io/crush-love/CONFIG.js	/tha_thinh/andyngojs.github.io/crush-love/CONFIG.js	(from https://andyngojs.github.io/crush-love/?utm_medium=url_shortener&utm_source=j2team)
14:17:13	2169/2169	---M-Z	200	added ('OK')	application/javascript	etag:W/%226120566a-879%22	https://andyngojs.github.io/crush-love/assets/js/main.js	/tha_thinh/andyngojs.github.io/crush-love/assets/js/main.js	(from https://andyngojs.github.io/crush-love/?utm_medium=url_shortener&utm_source=j2team)
14:17:13	78748/78748	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226120566a-1339c%22	https://andyngojs.github.io/crush-love/assets/fonts/fonts/themify.eot?-fvbane	/tha_thinh/andyngojs.github.io/crush-love/assets/fonts/fonts/themify9f24.eot	(from https://andyngojs.github.io/crush-love/assets/fonts/themify-icons.css)
14:17:14	78748/78748	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226120566a-1339c%22	https://andyngojs.github.io/crush-love/assets/fonts/fonts/themify.eot?	/tha_thinh/andyngojs.github.io/crush-love/assets/fonts/fonts/themifyd41d.eot	(from https://andyngojs.github.io/crush-love/assets/fonts/themify-icons.css)
14:17:15	56108/56108	---M--	200	added ('OK')	font/woff	etag:%226120566a-db2c%22	https://andyngojs.github.io/crush-love/assets/fonts/fonts/themify.woff?-fvbane	/tha_thinh/andyngojs.github.io/crush-love/assets/fonts/fonts/themify9f24.woff	(from https://andyngojs.github.io/crush-love/assets/fonts/themify-icons.css)
14:17:15	78584/78584	---M-Z	200	added ('OK')	font/ttf	etag:W/%226120566a-132f8%22	https://andyngojs.github.io/crush-love/assets/fonts/fonts/themify.ttf?-fvbane	/tha_thinh/andyngojs.github.io/crush-love/assets/fonts/fonts/themify9f24.ttf	(from https://andyngojs.github.io/crush-love/assets/fonts/themify-icons.css)
14:17:15	234269/234269	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226120566a-3931d%22	https://andyngojs.github.io/crush-love/assets/fonts/fonts/themify.svg?-fvbane	/tha_thinh/andyngojs.github.io/crush-love/assets/fonts/fonts/themify9f24.svg	(from https://andyngojs.github.io/crush-love/assets/fonts/themify-icons.css)
14:17:41	53496594/53496594	---M--	200	added ('OK')	audio/wav	etag:%226120566b-3304b12%22	https://andyngojs.github.io/crush-love/assets/musics/V1.wav	/tha_thinh/andyngojs.github.io/crush-love/assets/musics/V1.wav	(from https://andyngojs.github.io/crush-love/?utm_medium=url_shortener&utm_source=j2team)
